epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,138524,0.10829,0.095,0.77295,0.95838,1,0.96317,0.9629,0.06702,0.0626,0.75943,0.001684,0.001684,0.001684
86,140151,0.10785,0.09441,0.77339,0.95916,1,0.96369,0.96341,0.06675,0.06225,0.75939,0.001585,0.001585,0.001585
87,141742,0.10615,0.09232,0.7722,0.96027,1,0.96424,0.96397,0.06647,0.06201,0.75938,0.001486,0.001486,0.001486
88,143348,0.10417,0.09063,0.77421,0.96119,1,0.96567,0.96539,0.0662,0.06165,0.75933,0.001387,0.001387,0.001387
89,144948,0.10318,0.08969,0.77392,0.9616,1,0.96575,0.96547,0.06592,0.06131,0.75927,0.001288,0.001288,0.001288
90,146545,0.10177,0.08823,0.77283,0.96186,1,0.9658,0.96552,0.06564,0.06118,0.75917,0.001189,0.001189,0.001189
91,148150,0.10063,0.08749,0.77267,0.96346,1,0.96738,0.9671,0.06535,0.06097,0.75907,0.00109,0.00109,0.00109
92,149750,0.09883,0.0858,0.77347,0.96494,1,0.96897,0.96871,0.06504,0.06094,0.75902,0.000991,0.000991,0.000991
93,151333,0.09706,0.08398,0.77245,0.96612,1,0.9699,0.96964,0.06476,0.0606,0.75896,0.000892,0.000892,0.000892
94,152872,0.09496,0.08225,0.77293,0.96656,1,0.97026,0.96999,0.06449,0.0603,0.7589,0.000793,0.000793,0.000793
95,154400,0.09379,0.08135,0.77242,0.96687,1,0.97052,0.97024,0.06422,0.06002,0.75885,0.000694,0.000694,0.000694
96,155944,0.09198,0.07935,0.77186,0.96775,1,0.97126,0.97099,0.06397,0.05967,0.75881,0.000595,0.000595,0.000595
97,157482,0.09053,0.07782,0.77014,0.96897,1,0.97222,0.97196,0.0637,0.05952,0.75874,0.000496,0.000496,0.000496
98,159027,0.08887,0.07656,0.76985,0.96912,1,0.97234,0.97208,0.06345,0.05907,0.75869,0.000397,0.000397,0.000397
99,160563,0.08752,0.07543,0.7716,0.96996,1,0.97268,0.97244,0.06318,0.0588,0.75863,0.000298,0.000298,0.000298
100,162104,0.08634,0.07374,0.77082,0.97061,1,0.97309,0.97286,0.06292,0.05855,0.75857,0.000199,0.000199,0.000199
